t,time_label,load_mw,wind_forecast_mw
0,18:00-18:15,385.0,7.86229084375194
1,18:15-18:30,385.0,17.02409226887627
2,18:30-18:45,380.0,14.589296650334397
3,18:45-19:00,375.0,12.494100160983272
4,19:00-19:15,370.0,10.688118992709756
5,19:15-19:30,367.99999999999994,10.97517348176398
6,19:30-19:45,367.99999999999994,12.464910393080402
7,19:45-20:00,370.0,14.326330462975154
8,20:00-20:15,367.99999999999994,17.761261239415045
9,20:15-20:30,366.0,21.59923736672069
10,20:30-20:45,367.99999999999994,25.790268799877342
11,20:45-21:00,370.0,29.038745331250603
12,21:00-21:15,375.0,33.53746624912428
13,21:15-21:30,375.0,37.4748880711019
14,21:30-21:45,384.00000000000006,40.39028789560441
15,21:45-22:00,384.00000000000006,43.33167482736964
16,22:00-22:15,380.0,46.61781871410999
17,22:15-22:30,375.0,50.240451057700255
18,22:30-22:45,375.0,53.141657182253596
19,22:45-23:00,350.0,57.50088926584446
20,23:00-23:15,345.00000000000006,65.29797640507904
21,23:15-23:30,335.0,77.82437917313783
22,23:30-23:45,325.0,94.40217054240935
23,23:45-24:00,310.0,115.6217389401965
24,0:00-0:15,300.0,134.47050263308023
25,0:15-0:30,295.00000000000006,147.04411861216568
26,0:30-0:45,285.0,154.06880139779292
27,0:45-1:00,280.0,157.18183837015775
28,1:00-1:15,275.0,159.1895186566616
29,1:15-1:30,270.0,159.17701052847556
30,1:30-1:45,265.0,156.98562177505875
31,1:45-2:00,260.0,153.80960987651207
32,2:00-2:15,255.0,151.10529449329917
33,2:15-2:30,250.0,177.88710589270556
34,2:30-2:45,245.0,171.87481014244688
35,2:45-3:00,245.0,164.3826750771114
36,3:00-3:15,240.0,168.0908067080584
37,3:15-3:30,238.0,172.10406466477664
38,3:30-3:45,235.0,169.37324460017643
39,3:45-4:00,232.0,182.30919796313006
40,4:00-4:15,230.0,177.62155241896372
41,4:15-4:30,230.0,181.85611526899075
42,4:30-4:45,228.0,185.4990619572681
43,4:45-5:00,225.0,184.92500218416964
44,5:00-5:15,225.0,182.40531729810135
45,5:15-5:30,222.0,178.03421832225695
46,5:30-5:45,222.0,172.06873738983597
47,5:45-6:00,216.00000000000003,164.11324686247204
48,6:00-6:15,215.0,135.31055592560057
49,6:15-6:30,215.0,141.39644518012514
50,6:30-6:45,216.00000000000003,146.2550510187773
51,6:45-7:00,222.0,137.6396874496336
52,7:00-7:15,225.0,134.1797627025666
53,7:15-7:30,230.0,135.1543535770893
54,7:30-7:45,235.0,134.273840670457
55,7:45-8:00,236.0,133.43381835210812
