t_day,time_label,load_mw,wind_forecast_mw
0,00:00-00:15,300.0,134.47050263308023
1,00:15-00:30,295.00000000000006,147.04411861216568
2,00:30-00:45,285.0,154.06880139779292
3,00:45-01:00,280.0,157.18183837015775
4,01:00-01:15,275.0,159.1895186566616
5,01:15-01:30,270.0,159.17701052847556
6,01:30-01:45,265.0,156.98562177505875
7,01:45-02:00,260.0,153.80960987651207
8,02:00-02:15,255.0,151.10529449329917
9,02:15-02:30,250.0,177.88710589270556
10,02:30-02:45,245.0,171.87481014244688
11,02:45-03:00,245.0,164.3826750771114
12,03:00-03:15,240.0,168.0908067080584
13,03:15-03:30,238.0,172.10406466477664
14,03:30-03:45,235.0,169.37324460017643
15,03:45-04:00,232.0,182.30919796313006
16,04:00-04:15,230.0,177.62155241896372
17,04:15-04:30,230.0,181.85611526899075
18,04:30-04:45,228.0,185.4990619572681
19,04:45-05:00,225.0,184.92500218416964
20,05:00-05:15,225.0,182.40531729810135
21,05:15-05:30,222.0,178.03421832225695
22,05:30-05:45,222.0,172.06873738983597
23,05:45-06:00,216.00000000000003,164.11324686247204
24,06:00-06:15,215.0,135.31055592560057
25,06:15-06:30,215.0,141.39644518012514
26,06:30-06:45,216.00000000000003,146.2550510187773
27,06:45-07:00,222.0,137.6396874496336
28,07:00-07:15,225.0,134.1797627025666
29,07:15-07:30,230.0,135.1543535770893
30,07:30-07:45,235.0,134.273840670457
31,07:45-08:00,236.0,133.43381835210812
32,08:00-08:15,239.6341463414634,130.37109816897748
33,08:15-08:30,243.26829268292684,127.30837798584685
34,08:30-08:45,246.90243902439025,124.24565780271621
35,08:45-09:00,250.53658536585365,121.18293761958556
36,09:00-09:15,254.1707317073171,118.12021743645492
37,09:15-09:30,257.8048780487805,115.05749725332429
38,09:30-09:45,261.4390243902439,111.99477707019365
39,09:45-10:00,265.0731707317073,108.93205688706301
40,10:00-10:15,268.7073170731707,105.86933670393236
41,10:15-10:30,272.3414634146342,102.80661652080173
42,10:30-10:45,275.9756097560976,99.74389633767109
43,10:45-11:00,279.609756097561,96.68117615454045
44,11:00-11:15,283.2439024390244,93.61845597140982
45,11:15-11:30,286.8780487804878,90.55573578827918
46,11:30-11:45,290.5121951219512,87.49301560514854
47,11:45-12:00,294.1463414634146,84.4302954220179
48,12:00-12:15,297.780487804878,81.36757523888727
49,12:15-12:30,301.4146341463415,78.30485505575662
50,12:30-12:45,305.0487804878049,75.24213487262598
51,12:45-13:00,308.6829268292683,72.17941468949535
52,13:00-13:15,312.3170731707317,69.11669450636471
53,13:15-13:30,315.9512195121951,66.05397432323407
54,13:30-13:45,319.5853658536586,62.99125414010342
55,13:45-14:00,323.219512195122,59.928533956972785
56,14:00-14:15,326.8536585365854,56.86581377384215
57,14:15-14:30,330.4878048780488,53.80309359071151
58,14:30-14:45,334.1219512195122,50.740373407580876
59,14:45-15:00,337.7560975609756,47.67765322445024
60,15:00-15:15,341.390243902439,44.61493304131959
61,15:15-15:30,345.0243902439024,41.55221285818895
62,15:30-15:45,348.6585365853658,38.489492675058315
63,15:45-16:00,352.2926829268293,35.42677249192768
64,16:00-16:15,355.9268292682927,32.36405230879704
65,16:15-16:30,359.5609756097561,29.301332125666406
66,16:30-16:45,363.1951219512195,26.23861194253577
67,16:45-17:00,366.82926829268297,23.17589175940512
68,17:00-17:15,370.4634146341464,20.113171576274482
69,17:15-17:30,374.0975609756098,17.050451393143845
70,17:30-17:45,377.7317073170732,13.987731210013209
71,17:45-18:00,381.3658536585366,10.925011026882572
72,18:00-18:15,385.0,7.86229084375194
73,18:15-18:30,385.0,17.02409226887627
74,18:30-18:45,380.0,14.589296650334397
75,18:45-19:00,375.0,12.494100160983272
76,19:00-19:15,370.0,10.688118992709756
77,19:15-19:30,367.99999999999994,10.97517348176398
78,19:30-19:45,367.99999999999994,12.464910393080402
79,19:45-20:00,370.0,14.326330462975154
80,20:00-20:15,367.99999999999994,17.761261239415045
81,20:15-20:30,366.0,21.59923736672069
82,20:30-20:45,367.99999999999994,25.790268799877342
83,20:45-21:00,370.0,29.038745331250603
84,21:00-21:15,375.0,33.53746624912428
85,21:15-21:30,375.0,37.4748880711019
86,21:30-21:45,384.00000000000006,40.39028789560441
87,21:45-22:00,384.00000000000006,43.33167482736964
88,22:00-22:15,380.0,46.61781871410999
89,22:15-22:30,375.0,50.240451057700255
90,22:30-22:45,375.0,53.141657182253596
91,22:45-23:00,350.0,57.50088926584446
92,23:00-23:15,345.00000000000006,65.29797640507904
93,23:15-23:30,335.0,77.82437917313783
94,23:30-23:45,325.0,94.40217054240935
95,23:45-00:00,310.0,115.6217389401965
