time_slot,price_yuan_per_mwh
0,237.875474749826
1,196.73331584459413
2,173.74783450765383
3,163.5616587879615
4,156.9923233226795
5,157.0332511988205
6,164.20369957788498
7,174.5959357040927
8,183.4447325347798
9,95.81190342681839
10,115.48475072498954
11,139.99978378391333
12,127.8663974091662
13,114.73460645438965
14,123.6701293164096
15,81.34236539117329
16,96.68082158311458
17,82.82489835786306
18,70.90480378986453
19,72.78318614583945
20,81.02785308541898
21,95.33053649437782
22,114.85020091518084
23,140.88138048916372
24,235.12673436303328
25,215.21308158361177
26,199.31522580336434
27,227.50557753493018
28,429.3301842058736
29,423.5975058061072
30,428.7768045790806
31,433.7179321081872
32,451.7332760820982
33,469.7486200560092
34,487.7639640299204
35,505.7793080038314
36,523.7946519777424
37,541.8099959516535
38,559.8253399255647
39,577.8406838994757
40,868.1719141718002
41,894.4205630578649
42,920.6692119439299
43,946.9178608299947
44,973.1665097160592
45,999.415158602124
46,1025.663807488189
47,1051.9124563742537
48,1078.1611052603184
49,1104.4097541463834
50,1130.658403032448
51,1156.907051918513
52,1183.1557008045777
53,1209.4043496906422
54,1235.6529985767072
55,1261.9016474627722
56,1288.150296348837
57,1314.3989452349017
58,1340.6475941209662
59,1366.8962430070312
60,956.1629073516078
61,974.1782513255189
62,992.1935952994298
63,1010.2089392733409
64,1028.224283247252
65,1046.2396272211631
66,1064.254971195074
67,1082.2703151689852
68,1100.2856591428963
69,1118.3010031168074
70,1136.3163470907184
71,1154.3316910646292
72,1708.1286785258735
73,1629.6086393474595
74,1650.4757416222444
75,1668.4323532967976
76,1683.9102823096925
77,1681.4501187806002
78,1668.6825204432998
79,1652.7294594639588
80,1623.2908276244195
81,1590.3979475129336
82,1554.4792523721514
83,1526.638602626774
84,1021.322100058852
85,998.1616399933154
86,981.0128547568507
87,963.7112097590528
88,944.3816566404005
89,923.0728318511622
90,906.0075359220967
91,880.36592952248
92,464.2150631930022
93,423.2273907484445
94,368.9831599760999
95,299.55055949153393
