penetration_scale,scenario,total_cost_usd,total_wind_curtailed_mwh,total_wind_used_mwh,total_ev_ch_mwh,total_ev_dis_mwh
0.0,unordered,151461.1707547538,138.0367160281253,1365.2673370432985,0.0,0.0
0.0,ordered,151461.1707547538,138.0367160281253,1365.2673370432985,0.0,0.0
0.0,v2g,151461.1707547538,138.03671602812526,1365.2673370432985,0.0,0.0
0.2,unordered,151160.05441728368,137.8734807203275,1365.4305723510963,23.60000000000001,0.0
0.2,ordered,150636.02513434883,114.47842140081649,1388.8256316706074,23.6,0.0
0.2,v2g,150787.30619232048,103.81022627140337,1399.4938268000205,34.226489258881934,7.677638489542193
0.5,unordered,150709.8054370552,137.6286277952687,1365.6754252761552,59.00000000000002,0.0
0.5,ordered,149398.3067863915,79.14097887416042,1424.1630741972633,59.0,0.0
0.5,v2g,149814.15281504916,57.65612593925415,1445.6479271321696,80.38058824343439,15.447475005881337
0.8,unordered,150261.2670862439,137.38377482908422,1365.9202782423397,94.40000000000003,0.0
0.8,ordered,148160.58856593253,43.80353702266031,1459.5005160487635,94.39999999999999,0.0
0.8,v2g,148946.0134774808,26.020101537742455,1477.2839515336814,112.01661196845981,12.728002147212209
1.0,unordered,149963.19186947017,137.22053953207256,1366.0835135393513,118.00000000000004,0.0
1.0,ordered,147335.44314868865,20.245242455017134,1483.0588106164068,117.99999999999999,0.0
1.0,v2g,148412.60071736135,8.889401476906547,1494.4146515945172,129.1473115826563,8.053932618469178
1.2,unordered,149665.87686478917,137.05730424903766,1366.246748822386,141.60000000000005,0.0
1.2,ordered,146588.58571259785,0.5545686205464064,1502.7494844508774,141.59999999999997,0.0
1.2,v2g,148004.5270551421,0.554568622544731,1502.7494844488792,141.5999999870607,-9.348632558425954e-09
1.5,unordered,149221.3290569926,136.8124512955846,1366.4916017758392,177.00000000000006,0.0
1.5,ordered,146058.13941238553,-1.1219606325552078e-05,1503.3040642910303,177.0,0.0
1.5,v2g,147828.10956580588,-1.121892157374127e-05,1503.3040642903454,176.99999998334937,-1.203014321968375e-08
2.0,unordered,148484.21503307312,136.40436307100092,1366.899690000423,236.00000000000009,0.0
2.0,ordered,145200.5275692974,-1.121924241154204e-05,1503.3040642906662,236.00000000000006,0.0
2.0,v2g,147560.52756993097,-1.1218992249650839e-05,1503.3040642904161,235.99999999710195,-2.0938763201670743e-09
